bit, value, max detected freq, mag
165,0,56850.533807829175,769.520411042989
166,0,52046.26334519572,829.3432289204945
167,0,56850.533807829175,406.22822262675436
168,1,76067.61565836298,391.3956008400062
169,1,76067.61565836298,418.37694878611165
170,0,52846.97508896797,637.5103373471622
171,1,76067.61565836298,447.2068000046527
172,1,76067.61565836298,351.67773281433915
173,0,52046.26334519572,727.6344081370848
174,0,51245.55160142348,771.9799795232825
175,0,52046.26334519572,634.4432626189721
176,1,76067.61565836298,409.6494170988508
177,1,76067.61565836298,458.93008025029303
178,0,56850.533807829175,666.4079188774612
179,1,76067.61565836298,450.6622058785757
180,1,76067.61565836298,362.73769653389365
181,0,52046.26334519572,823.7037362755468
182,0,52846.97508896797,612.0250018563937
183,0,52046.26334519572,1043.787491656582
184,1,76067.61565836298,427.53619858142457
185,1,76067.61565836298,438.5207958551903
186,0,52046.26334519572,714.0631879737227
187,1,76067.61565836298,425.7294962959247
188,1,76067.61565836298,424.6915321510371
189,0,52046.26334519572,812.669462487763
190,0,52046.26334519572,913.9190889805775
191,0,56850.533807829175,845.3496357256631
192,1,76067.61565836298,496.44524218300944
193,1,76067.61565836298,452.1917409208275
194,0,52046.26334519572,588.6567638782961
195,1,71263.34519572953,193.65799312307428
196,1,76067.61565836298,423.39843843000347
197,0,52046.26334519572,622.685918859333
198,0,51245.55160142348,630.4927176457169
199,0,56850.533807829175,731.360985878444
200,1,76067.61565836298,336.07121190787194
201,1,76067.61565836298,411.2975631530143
202,0,52046.26334519572,631.0519923014123
203,1,76067.61565836298,426.5057296232658
204,1,76067.61565836298,365.7801291034652
205,0,56850.533807829175,774.69546998908
206,0,51245.55160142348,782.8366753774578
207,0,52046.26334519572,520.0628904880457
208,1,76067.61565836298,342.56441028942805
209,1,76067.61565836298,439.80909417370583
210,0,52046.26334519572,865.6329911792458
211,1,76067.61565836298,439.2662665737704
212,1,76067.61565836298,437.00534872280974
213,0,56850.533807829175,787.9582468005524
214,0,57651.24555160142,511.00922081063095
215,0,52046.26334519572,807.9325032241034
216,1,76067.61565836298,292.59506559926876
217,1,76067.61565836298,437.97413123460217
218,0,56850.533807829175,851.019254704016
219,1,76067.61565836298,417.3085111274811
220,1,76067.61565836298,441.36952777054955
221,0,52046.26334519572,849.5605608873013
222,0,56850.533807829175,722.0196587033375
223,0,56850.533807829175,669.6179952297948
224,1,76067.61565836298,406.1748945424744
225,1,76067.61565836298,500.8287626178351
226,0,52046.26334519572,691.1754646628478
227,1,76067.61565836298,400.2604197320189
228,1,76067.61565836298,339.88858081158793
229,0,51245.55160142348,547.8693004181981
230,0,52046.26334519572,700.0566605284433
231,0,56850.533807829175,616.8099837686103
232,1,76067.61565836298,363.06332161462217
233,1,76067.61565836298,363.9261939501886
234,0,56850.533807829175,817.8638886651243
235,1,76067.61565836298,433.34705195462004
236,1,76067.61565836298,423.2197368266909
237,0,56850.533807829175,778.0026497209819
238,0,52046.26334519572,762.83769042011
239,0,52046.26334519572,704.4610735795586
240,1,76067.61565836298,348.21481109611204
241,1,76067.61565836298,423.3544791299787
242,0,52046.26334519572,809.9900634524979
243,1,76067.61565836298,408.37842749200075
244,1,76067.61565836298,510.06245487970904
245,0,52046.26334519572,609.8705886536914
246,0,52046.26334519572,777.160419012003
247,0,56850.533807829175,632.5157977663723
248,1,76067.61565836298,410.4142564206418
249,1,76067.61565836298,321.11460810373035
250,0,52046.26334519572,784.0916688766837
251,1,76067.61565836298,348.2846058017342
252,1,76067.61565836298,475.0612861837627
253,0,52046.26334519572,713.846373979587
254,0,52046.26334519572,762.3638388390793
255,0,56850.533807829175,793.0130781466321
256,1,76067.61565836298,436.3155080772622
Recorded Data
1100011011000110110001101100011011000110110001101100011001100011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001101100011011000011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001
