bit, value, max detected freq, mag
206,0,57200.0,9552.069482312469
207,0,57200.0,7702.862584969391
208,1,76000.0,5789.000947213888
209,1,76000.0,5685.454929246177
210,0,57200.0,10530.294480826386
211,1,76000.0,5899.45607767364
212,1,76000.0,5428.527547867434
213,0,57000.00000000001,11695.09875117613
214,0,57200.0,9495.63486402351
215,0,52000.00000000001,10452.827147427244
216,1,76000.0,5370.617114983445
217,1,76000.0,6282.190196586848
218,0,57200.0,9548.77174019639
219,1,76000.0,5903.812571602155
220,1,76000.0,5902.675795556002
221,0,57000.00000000001,10674.394709548862
222,0,57000.00000000001,10873.328214050964
223,0,57000.00000000001,9032.747492635615
224,1,76000.0,6786.612703815388
225,1,76000.0,6595.606597370132
226,0,52200.0,11655.964442820656
227,1,76000.0,6122.460572004011
228,1,76000.0,6405.3789786642665
229,0,57200.0,10627.11075362142
230,0,57200.0,8586.71990728959
231,0,57000.00000000001,8907.412791266408
232,1,76000.0,5831.01683945026
233,1,76000.0,6430.268845417671
234,0,52200.0,11155.289993708207
235,1,76000.0,5495.147411710075
236,1,76200.0,5385.920651580655
237,0,57000.00000000001,8971.60053461211
238,0,57000.00000000001,8424.27183756777
239,0,57000.00000000001,10759.367039532604
240,1,76000.0,4930.33735585268
241,1,76000.0,5905.5670486700465
242,0,52200.0,7293.703097865284
243,1,76000.0,5350.049622016879
244,1,76000.0,6063.464339018831
245,0,52200.0,8442.554761914711
246,0,57000.00000000001,11408.828027868887
247,0,52400.0,9024.977492786646
248,1,76000.0,4202.594699608988
249,1,76200.0,4653.699685358421
250,0,52200.0,7122.229713816526
251,1,76000.0,3533.414340324487
252,1,76000.0,5200.243094391074
253,0,57200.0,7643.047393907862
254,0,57000.00000000001,10659.653370059385
255,0,57000.00000000001,9608.699103157242
256,1,76000.0,3617.3973991838093
Recorded Data
1100011011000110110001101100011011000110110001101100001001000011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001101100001001000011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001
