#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:54:37.530.963.799,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005445154,-4.032921811,0,,,,
-0.005444818,-4.115226337,0,,,,
-0.005444482,-4.032921811,0,,,,
-0.005444146,-1.893004115,0,,,,
-0.00544381,0.658436214,0,,,,
-0.005443474,1.399176955,0,,,,
-0.005443138,1.152263374,0,,,,
-0.005442802,1.646090535,0,,,,
-0.005442466,2.469135802,0,,,,
-0.00544213,2.880658436,0,,,,
-0.005441794,2.798353909,0,,,,
-0.005441458,2.469135802,0,,,,
-0.005441122,2.962962963,0,,,,
-0.005440786,4.691358025,0,,,,
-0.00544045,4.115226337,0,,,,
-0.005440114,4.279835391,0,,,,
-0.005439778,-2.139917695,0,,,,
-0.005439442,-4.032921811,0,,,,
-0.005439106,-4.032921811,0,,,,
-0.00543877,-4.279835391,0,,,,
-0.005438434,-3.703703704,0,,,,
-0.005438098,-1.399176955,0,,,,
-0.005437762,0.823045267,0,,,,
-0.005437426,0.987654321,0,,,,
-0.00543709,0.082304527,0,,,,
-0.005436754,1.893004115,0,,,,
-0.005436418,4.773662551,0,,,,
-0.005436082,4.444444444,0,,,,
-0.005435746,4.362139918,0,,,,
-0.00543541,3.78600823,0,,,,
-0.005435074,1.893004115,0,,,,
-0.005434738,0.164609053,0,,,,
-0.005434402,-0.905349794,0,,,,
-0.005434066,-0.576131687,0,,,,
-0.00543373,1.069958848,0,,,,
-0.005433394,1.646090535,0,,,,
-0.005433058,0.658436214,0,,,,
-0.005432722,-1.481481481,0,,,,
-0.005432386,-3.209876543,0,,,,
-0.00543205,-3.78600823,0,,,,
-0.005431714,-3.621399177,0,,,,
-0.005431378,-2.633744856,0,,,,
-0.005431042,-1.646090535,0,,,,
-0.005430706,-0.576131687,0,,,,
-0.00543037,0.49382716,0,,,,
-0.005430034,4.362139918,0,,,,
-0.005429698,4.444444444,0,,,,
-0.005429362,4.362139918,0,,,,
-0.005429026,2.386831276,0,,,,
-0.00542869,-0.411522634,0,,,,
-0.005428354,-4.032921811,0,,,,
-0.005428018,-4.032921811,0,,,,
-0.005427682,-4.032921811,0,,,,
-0.005427346,-4.032921811,0,,,,
-0.00542701,-2.386831276,0,,,,
-0.005426674,1.399176955,0,,,,
-0.005426338,-0.329218107,0,,,,
-0.005426002,1.728395062,0,,,,
-0.005425666,1.316872428,0,,,,
-0.00542533,2.633744856,0,,,,
-0.005424994,2.962962963,0,,,,
-0.005424658,2.304526749,0,,,,
-0.005424322,1.893004115,0,,,,
-0.005423986,1.316872428,0,,,,
-0.00542365,3.53909465,0,,,,
-0.005423314,4.362139918,0,,,,
-0.005422978,4.362139918,0,,,,
-0.005422642,3.868312757,0,,,,
-0.005422306,-4.115226337,0,,,,
-0.00542197,-3.950617284,0,,,,
-0.005421634,-4.115226337,0,,,,
-0.005421298,-4.115226337,0,,,,
-0.005420962,-3.29218107,0,,,,
-0.005420626,-0.49382716,0,,,,
-0.00542029,1.069958848,0,,,,
-0.005419954,1.152263374,0,,,,
-0.005419618,2.962962963,0,,,,
-0.005419282,4.362139918,0,,,,
-0.005418946,4.362139918,0,,,,
-0.00541861,4.279835391,0,,,,
-0.005418274,3.456790123,0,,,,
-0.005417938,2.469135802,0,,,,
-0.005417602,1.316872428,0,,,,
-0.005417266,0.49382716,0,,,,
-0.00541693,3.53909465,0,,,,
-0.005416594,3.78600823,0,,,,
-0.005416258,1.234567901,0,,,,
-0.005415922,0.823045267,0,,,,
-0.005415586,-1.234567901,0,,,,
-0.00541525,-3.209876543,0,,,,
-0.005414914,-3.950617284,0,,,,
-0.005414578,-3.78600823,0,,,,
-0.005414242,-3.29218107,0,,,,
-0.005413906,-2.057613169,0,,,,
-0.00541357,-0.987654321,0,,,,
-0.005413234,0,0,,,,
-0.005412898,1.810699588,0,,,,
-0.005412562,4.362139918,0,,,,
-0.005412226,4.115226337,0,,,,
-0.00541189,4.691358025,0,,,,
-0.005411554,1.234567901,0,,,,
-0.005411218,-1.069958848,0,,,,
-0.005410882,-4.032921811,0,,,,
-0.005410546,-4.197530864,0,,,,
-0.00541021,-3.950617284,0,,,,
-0.005409874,-4.197530864,0,,,,
-0.005409538,-3.127572016,0,,,,
-0.005409202,-0.329218107,0,,,,
-0.005408866,1.152263374,0,,,,
-0.00540853,1.316872428,0,,,,
-0.005408194,1.893004115,0,,,,
-0.005407858,3.127572016,0,,,,
-0.005407522,2.880658436,0,,,,
-0.005407186,1.069958848,0,,,,
-0.00540685,-1.234567901,0,,,,
-0.005406514,-1.234567901,0,,,,
-0.005406178,4.609053498,0,,,,
-0.005405842,4.362139918,0,,,,
-0.005405506,4.444444444,0,,,,
-0.00540517,2.386831276,0,,,,
-0.005404834,-4.032921811,0,,,,
-0.005404498,-4.115226337,0,,,,
-0.005404162,-4.115226337,0,,,,
-0.005403826,-4.115226337,0,,,,
-0.00540349,-2.633744856,0,,,,
-0.005403154,0.164609053,0,,,,
-0.005402818,0.987654321,0,,,,
-0.005402482,1.481481481,0,,,,
-0.005402146,3.78600823,0,,,,
-0.00540181,4.444444444,0,,,,
-0.005401474,4.444444444,0,,,,
-0.005401138,4.197530864,0,,,,
