Time (s),Channel 1 (V)
-0.006249266,1.234567901
-0.006248766,0.987654321
-0.006248266,0.740740741
-0.006247766,0.329218107
-0.006247266,0
-0.006246766,-0.082304527
-0.006246266,-0.164609053
-0.006245766,-0.082304527
-0.006245266,-0.082304527
-0.006244766,0
-0.006244266,0.082304527
-0.006243766,4.115226337
-0.006243266,4.444444444
-0.006242766,2.222222222
-0.006242266,-0.987654321
-0.006241766,-0.576131687
-0.006241266,-3.950617284
-0.006240766,-3.621399177
-0.006240266,-2.469135802
-0.006239766,0.823045267
-0.006239266,0.823045267
-0.006238766,-0.329218107
-0.006238266,0.823045267
-0.006237766,3.703703704
-0.006237266,4.444444444
-0.006236766,2.716049383
-0.006236266,1.152263374
-0.006235766,1.234567901
-0.006235266,0.987654321
-0.006234766,4.444444444
-0.006234266,3.04526749
-0.006233766,-0.905349794
-0.006233266,-4.032921811
-0.006232766,-3.950617284
-0.006232266,-3.374485597
-0.006231766,0.49382716
-0.006231266,3.703703704
-0.006230766,4.444444444
-0.006230266,3.868312757
-0.006229766,1.728395062
-0.006229266,-2.798353909
-0.006228766,-4.032921811
-0.006228266,-3.950617284
-0.006227766,-3.374485597
-0.006227266,-0.576131687
-0.006226766,0.987654321
-0.006226266,1.152263374
-0.006225766,0.987654321
-0.006225266,0.740740741
-0.006224766,0.411522634
-0.006224266,0.164609053
-0.006223766,-0.329218107
-0.006223266,-0.082304527
-0.006222766,-0.082304527
-0.006222266,-0.082304527
-0.006221766,0.082304527
-0.006221266,0
-0.006220766,-0.164609053
-0.006220266,4.855967078
-0.006219766,4.444444444
-0.006219266,0.082304527
-0.006218766,-0.905349794
-0.006218266,-3.950617284
-0.006217766,-3.950617284
-0.006217266,-4.032921811
-0.006216766,-0.905349794
-0.006216266,1.069958848
-0.006215766,0.164609053
-0.006215266,0
-0.006214766,1.646090535
-0.006214266,4.444444444
-0.006213766,4.444444444
-0.006213266,2.633744856
-0.006212766,0.164609053
-0.006212266,-0.329218107
-0.006211766,4.526748971
-0.006211266,4.444444444
-0.006210766,0.411522634
-0.006210266,-4.526748971
-0.006209766,-4.773662551
-0.006209266,-3.621399177
-0.006208766,-0.411522634
-0.006208266,1.481481481
-0.006207766,4.609053498
-0.006207266,4.362139918
-0.006206766,3.621399177
-0.006206266,-1.399176955
-0.006205766,-4.032921811
-0.006205266,-3.950617284
-0.006204766,-3.78600823
-0.006204266,-1.316872428
-0.006203766,0.823045267
-0.006203266,1.234567901
-0.006202766,1.069958848
-0.006202266,0.823045267
-0.006201766,0.49382716
-0.006201266,0.164609053
-0.006200766,-0.987654321
-0.006200266,-1.563786008
-0.006199766,-0.658436214
-0.006199266,-0.082304527
-0.006198766,0
-0.006198266,0.082304527
-0.006197766,0.164609053
-0.006197266,4.444444444
-0.006196766,4.444444444
-0.006196266,0.658436214
-0.006195766,-0.987654321
-0.006195266,-1.893004115
-0.006194766,-4.115226337
-0.006194266,-3.950617284
-0.006193766,-2.469135802
-0.006193266,0.823045267
-0.006192766,0.658436214
-0.006192266,-0.164609053
-0.006191766,0.740740741
-0.006191266,4.197530864
-0.006190766,4.444444444
-0.006190266,4.362139918
-0.006189766,-0.24691358
-0.006189266,0
-0.006188766,1.893004115
-0.006188266,4.444444444
-0.006187766,1.728395062
-0.006187266,-1.646090535
-0.006186766,-3.950617284
-0.006186266,-4.032921811
-0.006185766,-1.646090535
-0.006185266,0.987654321
-0.006184766,4.444444444
-0.006184266,4.444444444
-0.006183766,4.444444444
-0.006183266,0.823045267
-0.006182766,-3.703703704
-0.006182266,-3.950617284
-0.006181766,-3.950617284
-0.006181266,-2.880658436
-0.006180766,-1.399176955
-0.006180266,0.49382716
-0.006179766,0.49382716
-0.006179266,0.905349794
-0.006178766,0.823045267
-0.006178266,0.164609053
-0.006177766,0.082304527
-0.006177266,-0.082304527
-0.006176766,-0.24691358
-0.006176266,-0.082304527
-0.006175766,0
-0.006175266,0
-0.006174766,0.082304527
-0.006174266,4.526748971
-0.006173766,4.444444444
-0.006173266,2.139917695
-0.006172766,-0.987654321
-0.006172266,-0.49382716
-0.006171766,-3.950617284
-0.006171266,-4.032921811
-0.006170766,-4.279835391
-0.006170266,-0.740740741
-0.006169766,0.411522634
-0.006169266,0
-0.006168766,0.24691358
-0.006168266,2.469135802
-0.006167766,4.444444444
-0.006167266,4.362139918
-0.006166766,2.139917695
-0.006166266,0
-0.006165766,-0.24691358
-0.006165266,4.526748971
-0.006164766,3.209876543
-0.006164266,-0.823045267
-0.006163766,-3.868312757
-0.006163266,-4.032921811
-0.006162766,-2.962962963
-0.006162266,0.740740741
-0.006161766,4.444444444
-0.006161266,4.444444444
-0.006160766,4.032921811
-0.006160266,1.975308642
-0.006159766,-3.29218107
-0.006159266,-3.950617284
