#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:48:01.658.393.199,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005374992,-0.082304527,0,,,,
-0.005374656,0.164609053,0,,,,
-0.00537432,0.24691358,0,,,,
-0.005373984,0.49382716,0,,,,
-0.005373648,0.24691358,0,,,,
-0.005373312,-0.164609053,0,,,,
-0.005372976,-0.49382716,0,,,,
-0.00537264,-0.49382716,0,,,,
-0.005372304,-0.329218107,0,,,,
-0.005371968,-0.082304527,0,,,,
-0.005371632,0.164609053,0,,,,
-0.005371296,0.411522634,0,,,,
-0.00537096,0.411522634,0,,,,
-0.005370624,0.164609053,0,,,,
-0.005370288,-0.329218107,0,,,,
-0.005369952,-0.49382716,0,,,,
-0.005369616,-0.49382716,0,,,,
-0.00536928,-0.24691358,0,,,,
-0.005368944,0,0,,,,
-0.005368608,0.24691358,0,,,,
-0.005368272,0.49382716,0,,,,
-0.005367936,0.411522634,0,,,,
-0.0053676,0,0,,,,
-0.005367264,-0.411522634,0,,,,
-0.005366928,-0.987654321,0,,,,
-0.005366592,0.740740741,0,,,,
-0.005366256,1.728395062,0,,,,
-0.00536592,-0.411522634,0,,,,
-0.005365584,0.658436214,0,,,,
-0.005365248,0.329218107,0,,,,
-0.005364912,0.24691358,0,,,,
-0.005364576,4.49E-13,0,,,,
-0.00536424,-0.658436214,0,,,,
-0.005363904,-0.24691358,0,,,,
-0.005363568,-0.411522634,0,,,,
-0.005363232,0,0,,,,
-0.005362896,0.164609053,0,,,,
-0.00536256,0.329218107,0,,,,
-0.005362224,0.49382716,0,,,,
-0.005361888,-0.082304527,0,,,,
-0.005361552,-0.24691358,0,,,,
-0.005361216,-0.49382716,0,,,,
-0.00536088,-0.411522634,0,,,,
-0.005360544,-0.082304527,0,,,,
-0.005360208,0,0,,,,
-0.005359872,0.24691358,0,,,,
-0.005359536,0.329218107,0,,,,
-0.0053592,0.411522634,0,,,,
-0.005358864,0,0,,,,
-0.005358528,-0.411522634,0,,,,
-0.005358192,-0.49382716,0,,,,
-0.005357856,-0.411522634,0,,,,
-0.00535752,-0.164609053,0,,,,
-0.005357184,0,0,,,,
-0.005356848,-2.304526749,0,,,,
-0.005356512,-1.152263374,0,,,,
-0.005356176,1.728395062,0,,,,
-0.00535584,0.164609053,0,,,,
-0.005355504,-0.24691358,0,,,,
-0.005355168,-0.49382716,0,,,,
-0.005354832,-0.49382716,0,,,,
-0.005354496,-0.329218107,0,,,,
-0.00535416,0,0,,,,
-0.005353824,0.082304527,0,,,,
-0.005353488,0.24691358,0,,,,
-0.005353152,0.411522634,0,,,,
-0.005352816,0.411522634,0,,,,
-0.00535248,-0.164609053,0,,,,
-0.005352144,-0.082304527,0,,,,
-0.005351808,-0.823045267,0,,,,
-0.005351472,-0.24691358,0,,,,
-0.005351136,-0.329218107,0,,,,
-0.0053508,0,0,,,,
-0.005350464,0.24691358,0,,,,
-0.005350128,0.164609053,0,,,,
-0.005349792,0.658436214,0,,,,
-0.005349456,0,0,,,,
-0.00534912,-0.164609053,0,,,,
-0.005348784,-0.49382716,0,,,,
-0.005348448,-0.49382716,0,,,,
-0.005348112,-0.082304527,0,,,,
-0.005347776,-0.164609053,0,,,,
-0.00534744,0.24691358,0,,,,
-0.005347104,0.24691358,0,,,,
-0.005346768,1.563786008,0,,,,
-0.005346432,0.24691358,0,,,,
-0.005346096,-1.152263374,0,,,,
