#Digilent WaveForms Oscilloscope Acquisition,,,,,,,
#Device Name: ADP5250-323F81C,,,,,,,
#Serial Number: SN:323F81C,,,,,,,
#Date Time: 2023-02-10 16:40:05.542.275.499,,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,,
#Samples: 32768,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,,
,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,
-0.005406049,-0.576131687,0,,,,,
-0.005405713,-0.987654321,0,,,,,
-0.005405377,-1.234567901,0,,,,,
-0.005405041,-2.25E-12,0,,,,,
-0.005404705,-0.329218107,0,,,,,
-0.005404369,0.658436214,0,,,,,
-0.005404033,0.49382716,0,,,,,
-0.005403697,0.740740741,0,,,,,
-0.005403361,0.49382716,0,,,,,
-0.005403025,-0.658436214,0,,,,,
-0.005402689,-0.411522634,0,,,,,
-0.005402353,-0.740740741,0,,,,,
-0.005402017,-0.082304527,0,,,,,
-0.005401681,0.24691358,0,,,,,
-0.005401345,0.164609053,0,,,,,
-0.005401009,0.329218107,0,,,,,
-0.005400673,-0.082304527,0,,,,,
-0.005400337,-0.329218107,0,,,,,
-0.005400001,-0.823045267,0,,,,,
-0.005399665,-0.658436214,0,,,,,
-0.005399329,-0.24691358,0,,,,,
-0.005398993,0.164609053,0,,,,,
-0.005398657,0.740740741,0,,,,,
-0.005398321,0.905349794,0,,,,,
-0.005397985,-0.740740741,0,,,,,
-0.005397649,-1.399176955,0,,,,,
-0.005397313,0,0,,,,,
-0.005396977,-0.905349794,0,,,,,
-0.005396641,-1.152263374,0,,,,,
-0.005396305,-0.658436214,0,,,,,
-0.005395969,-0.082304527,0,,,,,
-0.005395633,0.576131687,0,,,,,
-0.005395297,0.658436214,0,,,,,
-0.005394961,0.658436214,0,,,,,
-0.005394625,0.411522634,0,,,,,
-0.005394289,0.082304527,0,,,,,
-0.005393953,-0.411522634,0,,,,,
-0.005393617,-1.152263374,0,,,,,
-0.005393281,-1.069958848,0,,,,,
-0.005392945,-0.658436214,0,,,,,
-0.005392609,0.24691358,-0.008230453,,,,,
-0.005392273,0.658436214,0,,,,,
-0.005391937,0.823045267,0,,,,,
-0.005391601,0.823045267,0,,,,,
-0.005391265,0.49382716,0,,,,,
-0.005390929,0.576131687,0,,,,,
-0.005390593,-1.563786008,0,,,,,
-0.005390257,-0.987654321,0,,,,,
-0.005389921,-1.563786008,0,,,,,
-0.005389585,-0.164609053,0,,,,,
-0.005389249,0.658436214,0,,,,,
-0.005388913,0.987654321,0,,,,,
-0.005388577,1.399176955,0,,,,,
-0.005388241,-1.728395062,0,,,,,
-0.005387905,-0.823045267,0,,,,,
-0.005387569,0.082304527,0,,,,,
-0.005387233,-1.316872428,0,,,,,
-0.005386897,-0.905349794,0,,,,,
-0.005386561,-0.740740741,0,,,,,
-0.005386225,-0.164609053,0,,,,,
-0.005385889,-0.164609053,0,,,,,
-0.005385553,0.164609053,0,,,,,
-0.005385217,0.49382716,0,,,,,
-0.005384881,0.658436214,0,,,,,
-0.005384545,0.082304527,0,,,,,
-0.005384209,-0.329218107,0,,,,,
-0.005383873,-0.411522634,0,,,,,
-0.005383537,-0.411522634,0,,,,,
-0.005383201,0.164609053,0,,,,,
-0.005382865,0.24691358,0,,,,,
-0.005382529,0.411522634,0,,,,,
-0.005382193,0.24691358,0,,,,,
-0.005381857,0.329218107,0,,,,,
-0.005381521,-0.24691358,0,,,,,
-0.005381185,-0.658436214,0,,,,,
-0.005380849,-0.576131687,0,,,,,
-0.005380513,-0.576131687,0,,,,,
-0.005380177,0.082304527,0,,,,,
-0.005379841,0.082304527,0,,,,,
-0.005379505,0.49382716,0,,,,,
-0.005379169,0.658436214,0,,,,,
-0.005378833,0.411522634,0,,,,,
-0.005378497,0.082304527,0,,,,,
-0.005378161,1.728395062,0,,,,,
-0.005377825,1.069958848,0,,,,,
-0.005377489,-1.646090535,0,,,,,
-0.005377153,-0.082304527,0,,,,,
-0.005376817,0.164609053,0,,,,,
-0.005376481,0,0,,,,,
-0.005376145,0.987654321,0,,,,,
-0.005375809,0.24691358,0,,,,,
-0.005375473,0.411522634,0,,,,,
-0.005375137,-0.576131687,0,,,,,
-0.005374801,-1.152263374,0,,,,,
-0.005374465,-0.740740741,0,,,,,
-0.005374129,-0.49382716,0,,,,,
-0.005373793,0.658436214,0,,,,,
-0.005373457,0.49382716,0,,,,,
-0.005373121,0.49382716,0,,,,,
-0.005372785,0.329218107,0,,,,,
-0.005372449,0.164609053,0,,,,,
-0.005372113,-0.24691358,0,,,,,
-0.005371777,-1.234567901,0,,,,,
-0.005371441,-1.316872428,0,,,,,
-0.005371105,-0.823045267,0,,,,,
-0.005370769,0.329218107,0,,,,,
-0.005370433,0.905349794,0,,,,,
-0.005370097,1.069958848,0,,,,,
-0.005369761,0.905349794,0,,,,,
-0.005369425,0.49382716,0,,,,,
-0.005369089,-0.082304527,0,,,,,
-0.005368753,-0.987654321,0,,,,,
-0.005368417,-0.576131687,0,,,,,
-0.005368081,-0.082304527,0,,,,,
-0.005367745,0,0,,,,,
-0.005367409,0.49382716,0,,,,,
-0.005367073,0.658436214,0,,,,,
-0.005366737,1.069958848,0,,,,,
-0.005366401,0.740740741,0,,,,,
-0.005366065,0,0,,,,,
-0.005365729,-0.823045267,0,,,,,
-0.005365393,-0.987654321,0,,,,,
-0.005365057,-0.576131687,0,,,,,
-0.005364721,-0.329218107,0,,,,,
-0.005364385,0,0,,,,,
-0.005364049,0.164609053,0,,,,,
-0.005363713,0.740740741,0,,,,,
-0.005363377,0.658436214,0,,,,,
-0.005363041,0.24691358,0,,,,,
-0.005362705,-0.576131687,0,,,,,
-0.005362369,-0.987654321,0,,,,,
-0.005362033,-0.082304527,0,,,,,
-0.005361697,-0.740740741,0,,,,,
-0.005361361,0.823045267,0,,,,,
-0.005361025,0.49382716,0,,,,,
-0.005360689,0.740740741,0,,,,,
-0.005360353,0.823045267,0,,,,,
-0.005360017,-0.329218107,0,,,,,
-0.005359681,-0.329218107,0,,,,,
-0.005359345,-0.658436214,0,,,,,
-0.005359009,-0.164609053,0,,,,,
-0.005358673,-1.95E-12,0,,,,,
-0.005358337,-1.069958848,0,,,,,
-0.005358001,-1.481481481,0,,,,,
-0.005357665,-0.49382716,0,,,,,
-0.005357329,-0.164609053,0,,,,,
-0.005356993,0.082304527,0,,,,,
-0.005356657,-0.24691358,0,,,,,
-0.005356321,-0.24691358,0,,,,,
-0.005355985,0.329218107,0,,,,,
-0.005355649,0.740740741,0,,,,,
-0.005355313,0.740740741,0,,,,,
-0.005354977,0.576131687,0,,,,,
-0.005354641,0.24691358,0,,,,,
-0.005354305,0.082304527,0,,,,,
-0.005353969,-0.411522634,0,,,,,
-0.005353633,-0.905349794,0,,,,,
-0.005353297,-1.316872428,0,,,,,
-0.005352961,-0.987654321,0,,,,,
-0.005352625,-0.164609053,0,,,,,
-0.005352289,0.49382716,0,,,,,
-0.005351953,0.987654321,0,,,,,
-0.005351617,0.823045267,0,,,,,
-0.005351281,0.823045267,0,,,,,
-0.005350945,0.24691358,0,,,,,
-0.005350609,-0.411522634,0,,,,,
-0.005350273,-0.987654321,0,,,,,
-0.005349937,-1.316872428,0,,,,,
-0.005349601,-0.658436214,0,,,,,
-0.005349265,-0.24691358,0,,,,,
-0.005348929,0.658436214,0,,,,,
-0.005348593,0.905349794,0,,,,,
-0.005348257,1.893004115,0,,,,,
-0.005347921,1.152263374,0,,,,,
-0.005347585,-1.646090535,0,,,,,
-0.005347249,-0.576131687,0,,,,,
-0.005346913,-1.646090535,0,,,,,
-0.005346577,-1.152263374,0,,,,,
-0.005346241,-0.329218107,0,,,,,
-0.005345905,0.082304527,0,,,,,
-0.005345569,0.823045267,0,,,,,
-0.005345233,0.658436214,0,,,,,
-0.005344897,0.905349794,0,,,,,
-0.005344561,0.576131687,0,,,,,
-0.005344225,-0.082304527,0,,,,,
-0.005343889,-0.740740741,0,,,,,
-0.005343553,-1.152263374,0,,,,,
-0.005343217,-0.823045267,0,,,,,
-0.005342881,-0.329218107,0,,,,,
-0.005342545,0.411522634,0,,,,,
-0.005342209,0.576131687,0,,,,,
-0.005341873,0.658436214,0,,,,,
-0.005341537,0.576131687,0,,,,,
-0.005341201,1.05E-12,0,,,,,
-0.005340865,-0.576131687,0,,,,,
-0.005340529,-0.905349794,0,,,,,
-0.005340193,-0.576131687,0,,,,,
-0.005339857,-0.329218107,0,,,,,
-0.005339521,0.164609053,0,,,,,
-0.005339185,0.329218107,0,,,,,
-0.005338849,0.49382716,0,,,,,
-0.005338513,0.49382716,0,,,,,
-0.005338177,-0.658436214,0,,,,,
-0.005337841,-0.905349794,0,,,,,
-0.005337505,0.24691358,0,,,,,
-0.005337169,-0.329218107,0,,,,,
-0.005336833,0.164609053,0,,,,,
-0.005336497,0.24691358,0,,,,,
-0.005336161,0.411522634,0,,,,,
-0.005335825,0.329218107,0,,,,,
-0.005335489,0.329218107,0,,,,,
-0.005335153,-0.576131687,0,,,,,
-0.005334817,-0.905349794,0,,,,,
-0.005334481,-0.987654321,0,,,,,
-0.005334145,-0.329218107,0,,,,,
-0.005333809,0.49382716,0,,,,,
-0.005333473,0.740740741,0,,,,,
-0.005333137,1.234567901,0,,,,,
-0.005332801,0.329218107,0,,,,,
-0.005332465,0,0,,,,,
-0.005332129,-0.905349794,0,,,,,
-0.005331793,-1.646090535,0,,,,,
-0.005331457,-0.576131687,0,,,,,
-0.005331121,-0.658436214,0,,,,,
-0.005330785,0.329218107,0,,,,,
-0.005330449,0.658436214,0,,,,,
-0.005330113,0.740740741,0,,,,,
-0.005329777,0.740740741,0,,,,,
-0.005329441,0,0,,,,,
-0.005329105,-0.576131687,0,,,,,
-0.005328769,-0.905349794,0,,,,,
-0.005328433,-1.481481481,0,,,,,
-0.005328097,-1.646090535,0,,,,,
-0.005327761,-1.646090535,0,,,,,
-0.005327425,-0.082304527,0,,,,,
-0.005327089,0.658436214,0,,,,,
-0.005326753,0.576131687,0,,,,,
-0.005326417,-0.082304527,0,,,,,
-0.005326081,-0.658436214,0,,,,,
-0.005325745,-0.987654321,0,,,,,
-0.005325409,-0.49382716,0,,,,,
-0.005325073,-0.164609053,0,,,,,
-0.005324737,0.329218107,0,,,,,
-0.005324401,0.576131687,0,,,,,
-0.005324065,0.49382716,0,,,,,
-0.005323729,0.411522634,0,,,,,
-0.005323393,-0.24691358,0,,,,,
-0.005323057,-0.49382716,0,,,,,
-0.005322721,-0.740740741,0,,,,,
-0.005322385,-0.411522634,0,,,,,
-0.005322049,-0.082304527,0,,,,,
-0.005321713,0.082304527,0,,,,,
-0.005321377,0.49382716,-0.008230453,,,,,
-0.005321041,0.329218107,-1.50E-14,,,,,
-0.005320705,0.329218107,0,,,,,
-0.005320369,-0.24691358,0,,,,,
-0.005320033,-0.658436214,0,,,,,
-0.005319697,-0.740740741,0,,,,,
-0.005319361,-0.576131687,0,,,,,
-0.005319025,0.082304527,0,,,,,
-0.005318689,0.24691358,0,,,,,
-0.005318353,0.823045267,0,,,,,
-0.005318017,1.481481481,0,,,,,
-0.005317681,1.646090535,0,,,,,
-0.005317345,0.576131687,0,,,,,
-0.005317009,-1.069958848,0,,,,,
-0.005316673,-0.905349794,0,,,,,
-0.005316337,-0.905349794,0,,,,,
-0.005316001,-0.164609053,0,,,,,
-0.005315665,0.49382716,0,,,,,
-0.005315329,0.658436214,0,,,,,
-0.005314993,1.152263374,0,,,,,
-0.005314657,0.576131687,0,,,,,
-0.005314321,0.329218107,0,,,,,
-0.005313985,-0.576131687,0,,,,,
-0.005313649,-1.316872428,0,,,,,
-0.005313313,-1.234567901,0,,,,,
-0.005312977,-0.987654321,0,,,,,
-0.005312641,-0.082304527,0,,,,,
-0.005312305,0.411522634,0,,,,,
-0.005311969,0.905349794,0,,,,,
-0.005311633,0.823045267,0,,,,,
-0.005311297,0.823045267,0,,,,,
-0.005310961,0.411522634,0,,,,,
-0.005310625,-0.49382716,0,,,,,
-0.005310289,-1.069958848,0,,,,,
-0.005309953,-1.234567901,0,,,,,
-0.005309617,-0.658436214,0,,,,,
-0.005309281,-0.164609053,0,,,,,
-0.005308945,0.411522634,0,,,,,
-0.005308609,0.740740741,0,,,,,
-0.005308273,1.316872428,0,,,,,
-0.005307937,2.469135802,0,,,,,
-0.005307601,1.728395062,0,,,,,
-0.005307265,-0.740740741,0,,,,,
-0.005306929,-1.316872428,0,,,,,
-0.005306593,-0.987654321,0,,,,,
-0.005306257,-0.24691358,0,,,,,
-0.005305921,0.164609053,0,,,,,
-0.005305585,0.329218107,0,,,,,
-0.005305249,0.329218107,0,,,,,
-0.005304913,0.740740741,0,,,,,
-0.005304577,0.411522634,0,,,,,
-0.005304241,-0.082304527,0,,,,,
-0.005303905,-0.987654321,0,,,,,
-0.005303569,-1.316872428,0,,,,,
-0.005303233,-0.24691358,0,,,,,
-0.005302897,-0.576131687,0,,,,,
-0.005302561,0.823045267,0,,,,,
-0.005302225,0.24691358,0,,,,,
-0.005301889,0.823045267,0,,,,,
-0.005301553,1.069958848,0,,,,,
-0.005301217,0.082304527,0,,,,,
-0.005300881,-2.10E-12,0,,,,,
-0.005300545,-1.152263374,0,,,,,
-0.005300209,-0.905349794,0,,,,,
-0.005299873,-0.823045267,0,,,,,
-0.005299537,-0.49382716,0,,,,,
