bit, value, max detected freq, mag
56,0,53669.724770642206,32972.88250992032
57,0,53669.724770642206,32371.201753454312
58,0,53669.724770642206,39259.60635713793
59,0,53899.082568807346,26233.666795879322
60,0,54128.44036697248,31085.461561013275
61,0,53899.082568807346,27383.196602848846
62,0,53669.724770642206,31873.923374747417
63,0,53669.724770642206,30314.853286589798
64,0,54128.44036697248,28654.485292230755
65,0,53899.082568807346,24453.512340052308
66,0,53669.724770642206,40068.84067737558
67,0,53899.082568807346,31885.00749606242
68,0,53899.082568807346,27686.62483944284
69,0,53899.082568807346,29541.466373386364
70,0,53669.724770642206,36417.55701654688
71,0,53669.724770642206,31999.915900862336
72,0,53899.082568807346,26448.454410954295
73,0,53899.082568807346,32654.280839236235
74,0,53669.724770642206,33961.99443177452
75,0,53899.082568807346,31378.54967585563
76,0,53899.082568807346,30831.951976197095
77,0,54128.44036697248,27902.59473541723
78,0,53669.724770642206,32816.519146248975
79,0,53899.082568807346,25845.15396540614
80,0,53899.082568807346,29890.7364251049
81,0,53899.082568807346,30957.831084932994
82,0,53669.724770642206,32858.12035874123
83,0,53899.082568807346,29875.227906679207
84,0,53899.082568807346,23693.121549270836
85,0,54128.44036697248,34631.82518637805
86,0,53899.082568807346,29352.94481461008
87,0,53899.082568807346,34899.737607757284
88,0,53899.082568807346,30464.553119442953
89,0,53899.082568807346,33042.915965544445
90,0,54128.44036697248,31589.60895856767
91,0,53899.082568807346,29058.5446385249
92,0,53669.724770642206,34562.075331541964
93,0,53899.082568807346,30402.965705417104
94,0,53899.082568807346,23353.56897287492
95,0,53899.082568807346,31549.2721133208
96,0,54128.44036697248,22685.276803478562
97,0,53669.724770642206,30436.662182345317
98,0,53669.724770642206,36095.32725013154
99,0,54128.44036697248,29361.10559621003
100,0,54128.44036697248,32229.424403780115
101,0,53669.724770642206,35202.70551714748
102,0,53899.082568807346,30812.11777365316
103,0,53669.724770642206,39845.03201089006
104,0,53899.082568807346,25475.399315441933
105,0,53899.082568807346,30275.667408771824
106,0,53669.724770642206,30182.371175100176
107,0,53899.082568807346,30439.477605774005
108,0,53899.082568807346,28482.96175098737
109,0,53899.082568807346,33124.3419159524
